Organism_name	Tax_ID	arbutin	cellobiose	d-arabinose	d-galacturonate	d-glucuronate	d-malic_acid	d-xylose	fructose	g-amino-butyric_acid	glutamate	glycerol	glycogen	lactate	lactose	mannitol	melibiose	n-acetyl-neuraminic_acid	n-acetylglucosamine	quinic_acid	sorbitol	sucrose	d-arabitol	dextrin	formate	inosine	malate	raffinose	trehalose	α-ketoglutaric_acid	alanine	d-saccharate	gentiobiose	gluconate	l-arabinose	l-rhamnose	salicin	acetate	maltose	propionate	myo-inositol	n-acetyl-b-d-mannosamine	turanose	2-ketogluconate	adipate	amygdalin	aspartate	benzoate	citrate	d-aspartic_acid	d-lyxose	ethanol	fructose-6-phosphate	glucose-6-phosphate	glucose	glycine	histidine	l-arabitol	l-arginine	l-pyroglutamic_acid	l-sorbose	leucine	mannose	methyl_β-d-glucopyranoside	methyl_β-d-xylopyranoside	mucic_acid	phenylacetate	serine	tagatose	α-hydroxybutyric_acid	galactose	l-fucose	melezitose	pyruvate	ribose	stachyose	d-fucose	inositol	malonate	cult
Filifactor alocis	143361	?	?	?	?	?	0	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	FALSE
Cycloclasticus sp. P1	385025	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	FALSE
Azorhizobium caulinodans	7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	FALSE
Buchnera aphidicola	9	?	?	?	?	?	0	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	FALSE
Burkholderia xenovorans	36873	?	?	1	?	?	?	?	?	?	1	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	1	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	TRUE
Streptococcus gallolyticus	315405	1	?	?	?	?	0	?	1	0	0	?	?	?	?	?	?	?	?	0	?	?	?	1	0	?	?	?	?	0	0	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	0	?	?	?	1	?	?	?	0	0	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	TRUE
[Cellvibrio] gilvus	11	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	1	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	TRUE
Porphyromonas cansulci	36876	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	FALSE
Dictyoglomus thermophilum	14	?	?	?	?	?	0	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	FALSE
Streptococcus sp. F0442	999425	?	?	?	0	?	0	?	1	?	0	?	?	?	1	0	?	?	1	?	?	?	?	1	?	0	?	?	?	0	0	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	0	?	0	?	0	?	1	?	?	?	0	0	?	?	1	?	?	?	?	0	?	0	?	?	?	?	?	?	?	?	?	TRUE
